Time,PPG
1.00002133333333,5.19686
1.00082133333333,5.12765
1.00162133333333,5.05893
1.00242133333333,4.9907
1.00322133333333,4.92295
1.00402133333333,4.85569
1.00482133333333,4.78891
1.00562133333333,4.72261
1.00642133333333,4.65677
1.00722133333333,4.59141
1.00802133333333,4.5265
1.00882133333333,4.46206
1.00962133333333,4.39806
1.01042133333333,4.33452
1.01122133333333,4.27141
1.01202133333333,4.20875
1.01282133333333,4.14652
1.01362133333333,4.08472
1.01442133333333,4.02335
1.01522133333333,3.9624
1.01602133333333,3.90187
1.01682133333333,3.84177
1.01762133333333,3.78209
1.01842133333333,3.72282
1.01922133333333,3.66396
1.02002133333333,3.60553
1.02082133333333,3.5475
1.02162133333333,3.48988
1.02242133333333,3.43267
1.02322133333333,3.37586
1.02402133333333,3.31946
1.02482133333333,3.26345
1.02562133333333,3.20785
1.02642133333333,3.15264
1.02722133333333,3.09783
1.02802133333333,3.0434
1.02882133333333,2.98937
1.02962133333333,2.93572
1.03042133333333,2.88245
1.03122133333333,2.82957
1.03202133333333,2.77706
1.03282133333333,2.72492
1.03362133333333,2.67315
1.03442133333333,2.62174
1.03522133333333,2.57069
1.03602133333333,2.51999
1.03682133333333,2.46964
1.03762133333333,2.41964
1.03842133333333,2.36996
1.03922133333333,2.32062
1.04002133333333,2.27161
1.04082133333333,2.22291
1.04162133333333,2.17453
1.04242133333333,2.12645
1.04322133333333,2.07868
1.04402133333333,2.0312
1.04482133333333,1.98401
1.04562133333333,1.93711
1.04642133333333,1.89049
1.04722133333333,1.84414
1.04802133333333,1.79807
1.04882133333333,1.75227
1.04962133333333,1.70674
1.05042133333333,1.66147
1.05122133333333,1.61646
1.05202133333333,1.57171
1.05282133333333,1.52722
1.05362133333333,1.48298
1.05442133333333,1.43898
1.05522133333333,1.39524
1.05602133333333,1.35174
1.05682133333333,1.30848
1.05762133333333,1.26546
1.05842133333333,1.22268
1.05922133333333,1.18013
1.06002133333333,1.13781
1.06082133333333,1.09572
1.06162133333333,1.05385
1.06242133333333,1.01221
1.06322133333333,0.97078
1.06402133333333,0.92956
1.06482133333333,0.88856
1.06562133333333,0.84777
1.06642133333333,0.80718
1.06722133333333,0.7668
1.06802133333333,0.72662
1.06882133333333,0.68665
1.06962133333333,0.64689
1.07042133333333,0.60733
1.07122133333333,0.56798
1.07202133333333,0.52883
1.07282133333333,0.4899
1.07362133333333,0.45117
1.07442133333333,0.41265
1.07522133333333,0.37435
1.07602133333333,0.33626
1.07682133333333,0.29838
1.07762133333333,0.26072
1.07842133333333,0.22328
1.07922133333333,0.18606
1.08002133333333,0.14906
1.08082133333333,0.11229
1.08162133333333,0.07575
1.08242133333333,0.03945
1.08322133333333,0.00338
1.08402133333333,-0.03245
1.08482133333333,-0.06803
1.08562133333333,-0.10336
1.08642133333333,-0.13843
1.08722133333333,-0.17324
1.08802133333333,-0.20777
1.08882133333333,-0.24203
1.08962133333333,-0.276
1.09042133333333,-0.30967
1.09122133333333,-0.34304
1.09202133333333,-0.3761
1.09282133333333,-0.40883
1.09362133333333,-0.44122
1.09442133333333,-0.47326
1.09522133333333,-0.50493
1.09602133333333,-0.53623
1.09682133333333,-0.56713
1.09762133333333,-0.59762
1.09842133333333,-0.62768
1.09922133333333,-0.6573
1.10002133333333,-0.68645
1.10082133333333,-0.71511
1.10162133333333,-0.74327
1.10242133333333,-0.77091
1.10322133333333,-0.79799
1.10402133333333,-0.82451
1.10482133333333,-0.85044
1.10562133333333,-0.87575
1.10642133333333,-0.90042
1.10722133333333,-0.92443
1.10802133333333,-0.94775
1.10882133333333,-0.97035
1.10962133333333,-0.9922
1.11042133333333,-1.0133
1.11122133333333,-1.03359
1.11202133333333,-1.05307
1.11282133333333,-1.0717
1.11362133333333,-1.08946
1.11442133333333,-1.10632
1.11522133333333,-1.12226
1.11602133333333,-1.13725
1.11682133333333,-1.15127
1.11762133333333,-1.16428
1.11842133333333,-1.17627
1.11922133333333,-1.18721
1.12002133333333,-1.19707
1.12082133333333,-1.20583
1.12162133333333,-1.21347
1.12242133333333,-1.21995
1.12322133333333,-1.22527
1.12402133333333,-1.22939
1.12482133333333,-1.2323
1.12562133333333,-1.23397
1.12642133333333,-1.23439
1.12722133333333,-1.23354
1.12802133333333,-1.23139
1.12882133333333,-1.22794
1.12962133333333,-1.22317
1.13042133333333,-1.21707
1.13122133333333,-1.20962
1.13202133333333,-1.2008
1.13282133333333,-1.19062
1.13362133333333,-1.17906
1.13442133333333,-1.16611
1.13522133333333,-1.15177
1.13602133333333,-1.13603
1.13682133333333,-1.11889
1.13762133333333,-1.10035
1.13842133333333,-1.08041
1.13922133333333,-1.05906
1.14002133333333,-1.03632
1.14082133333333,-1.01218
1.14162133333333,-0.98666
1.14242133333333,-0.95976
1.14322133333333,-0.93148
1.14402133333333,-0.90185
1.14482133333333,-0.87087
1.14562133333333,-0.83856
1.14642133333333,-0.80494
1.14722133333333,-0.77001
1.14802133333333,-0.7338
1.14882133333333,-0.69633
1.14962133333333,-0.65762
1.15042133333333,-0.61769
1.15122133333333,-0.57656
1.15202133333333,-0.53427
1.15282133333333,-0.49084
1.15362133333333,-0.4463
1.15442133333333,-0.40067
1.15522133333333,-0.35401
1.15602133333333,-0.30632
1.15682133333333,-0.25767
1.15762133333333,-0.20807
1.15842133333333,-0.15757
1.15922133333333,-0.1062
1.16002133333333,-0.05402
1.16082133333333,-0.00105
1.16162133333333,0.05264
1.16242133333333,0.10703
1.16322133333333,0.16207
1.16402133333333,0.2177
1.16482133333333,0.27388
